entry_number,gulper_id,task,subtask,entry_start_time,entry_end_time,duration_seconds,job_id,,,,,,,,,,,,,,,,,,
1,4,Earthworks,Dig trench,14:10:12,14:11:10,58.4,2026-06-13_03,,,,,,,,,,,,,,,,,,
2,14,Earthworks,Dig trench,14:10:14,14:12:51,156.8,2026-06-13_03,,,,,,,,,,,,,,,,,,
3,23,Earthworks,Dig trench,14:10:19,14:10:22,2.5,2026-06-13_03,,,,,,,,,,,,,,,,,,
4,23,Rest,,14:10:22,14:11:26,64.1,2026-06-13_03,,,,,,,,,,,,,,,,,,
5,4,Equipment,Maneuvering,14:11:10,14:11:33,23.3,2026-06-13_03,,,,,,,,,,,,,,,,,,
6,23,Communication,With other gulper(s),14:11:26,14:11:38,12.5,2026-06-13_03,,,,,,,,,,,,,,,,,,
7,4,Communication,With other gulper(s),14:11:33,14:11:45,11.8,2026-06-13_03,,,,,,,,,,,,,,,,,,
8,23,Rest,,14:11:38,14:11:49,11,2026-06-13_03,,,,,,,,,,,,,,,,,,
9,4,Equipment,Maneuvering,14:11:45,14:12:19,33.5,2026-06-13_03,,,,,,,,,,,,,,,,,,
10,23,Communication,With other gulper(s),14:11:49,14:12:06,16.9,2026-06-13_03,,,,,,,,,,,,,,,,,,
11,23,Rest,,14:12:06,14:12:42,35.5,2026-06-13_03,,,,,,,,,,,,,,,,,,
12,4,Rest,,14:12:19,14:12:29,10.3,2026-06-13_03,,,,,,,,,,,,,,,,,,
13,4,Communication,With other gulper(s),14:12:29,14:12:39,9.9,2026-06-13_03,,,,,,,,,,,,,,,,,,
14,4,Rest,,14:12:39,14:12:58,18.8,2026-06-13_03,,,,,,,,,,,,,,,,,,
15,23,Communication,With other gulper(s),14:12:42,14:13:12,30.8,2026-06-13_03,,,,,,,,,,,,,,,,,,
16,14,Communication,With other gulper(s),14:12:51,14:13:09,17.9,2026-06-13_03,,,,,,,,,,,,,,,,,,
17,4,Earthworks,Dig trench,14:12:58,14:15:37,159.4,2026-06-13_03,,,,,,,,,,,,,,,,,,
18,14,Rest,,14:13:09,14:16:52,222.4,2026-06-13_03,,,,,,,,,,,,,,,,,,
19,23,Rest,,14:13:12,14:16:26,194.1,2026-06-13_03,,,,,,,,,,,,,,,,,,
20,4,Communication,With client(s),14:15:39,14:15:42,3.7,2026-06-13_03,,,,,,,,,,,,,,,,,,
21,4,Earthworks,Dig trench,14:15:42,14:16:58,75.5,2026-06-13_03,,,,,,,,,,,,,,,,,,
22,23,Communication,With other gulper(s),14:16:26,14:16:33,6.5,2026-06-13_03,,,,,,,,,,,,,,,,,,
23,23,Rest,,14:16:33,14:17:00,27.5,2026-06-13_03,,,,,,,,,,,,,,,,,,
24,14,Earthworks,Dig trench,14:16:52,14:18:58,126.1,2026-06-13_03,,,,,,,,,,,,,,,,,,
25,4,Communication,With other gulper(s),14:16:58,14:17:11,13.3,2026-06-13_03,,,,,,,,,,,,,,,,,,
