entry_number,gulper_id,task,subtask,entry_start_time,entry_end_time,duration_seconds,job_id,,,,,,,,,,,,,,,,,,
1,4,Earthworks,Dig trench,10:29:07,10:31:58,171.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
2,23,Earthworks,Dig trench,10:29:27,10:30:11,44.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
3,23,Rest,,10:30:11,10:31:55,103.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
4,23,Earthworks,Dig trench,10:31:55,10:32:25,30.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
5,4,Rest,,10:31:58,10:34:13,134.2,2026-05-21_01,,,,,,,,,,,,,,,,,,
6,23,Rest,,10:32:25,10:32:31,6,2026-05-21_01,,,,,,,,,,,,,,,,,,
7,23,Earthworks,Dig trench,10:32:31,10:34:42,130.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
8,4,Equipment,Repairing,10:34:13,10:34:45,32.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
9,23,Rest,,10:34:42,10:34:49,7,2026-05-21_01,,,,,,,,,,,,,,,,,,
10,4,Rest,,10:34:45,10:35:02,16.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
11,23,Earthworks,Dig trench,10:34:49,10:35:29,39.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
12,4,Earthworks,Dig trench,10:35:02,10:35:12,9.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
13,4,Rest,,10:35:12,10:35:25,13.2,2026-05-21_01,,,,,,,,,,,,,,,,,,
14,4,Earthworks,Dig trench,10:35:25,10:36:39,73.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
15,23,Rest,,10:35:37,10:39:21,224,2026-05-21_01,,,,,,,,,,,,,,,,,,
16,4,Rest,,10:36:39,10:36:52,12.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
17,4,Earthworks,Dig trench,10:37:00,10:40:21,201.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
18,23,Communication,With client(s),10:39:21,10:39:54,32.8,2026-05-21_01,,,,,,,,,,,,,,,,,,
19,23,Rest,,10:39:59,10:40:39,40.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
20,4,Rest,,10:40:28,10:40:32,4.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
21,4,Earthworks,Dig trench,10:40:32,10:44:08,215.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
22,23,Communication,With other gulper(s),10:40:39,10:40:46,6.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
23,23,Rest,,10:40:46,10:41:43,57.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
24,23,Communication,With client(s),10:41:43,10:41:50,6.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
25,23,Rest,,10:41:50,10:42:34,44,2026-05-21_01,,,,,,,,,,,,,,,,,,
26,23,Earthworks,Dig trench,10:42:34,10:42:56,21.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
27,23,Rest,,10:42:56,10:43:56,60.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
28,4,Communication,With other gulper(s),10:44:08,10:44:20,12,2026-05-21_01,,,,,,,,,,,,,,,,,,
29,23,Earthworks,Dig trench,10:44:41,10:46:19,98.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
30,4,Rest,,10:45:11,10:46:00,48.2,2026-05-21_01,,,,,,,,,,,,,,,,,,
31,4,Communication,With client(s),10:46:00,10:46:15,15.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
32,4,Communication,With other gulper(s),10:46:15,10:46:25,9.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
33,23,Communication,With other gulper(s),10:46:19,10:46:45,26.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
34,4,Earthworks,Dig trench,10:46:25,10:47:34,69,2026-05-21_01,,,,,,,,,,,,,,,,,,
35,23,Rest,,10:46:45,10:47:29,43.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
36,23,Earthworks,Dig trench,10:47:29,10:48:23,54.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
37,4,Rest,,10:47:34,10:48:21,46.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
38,4,Communication,With other gulper(s),10:48:21,10:49:04,43.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
39,23,Communication,With other gulper(s),10:48:23,10:48:43,19.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
40,23,Earthworks,Dig trench,10:48:43,10:54:45,362,2026-05-21_01,,,,,,,,,,,,,,,,,,
41,4,Rest,,10:49:04,10:52:45,220.8,2026-05-21_01,,,,,,,,,,,,,,,,,,
42,4,Communication,With other gulper(s),10:52:45,10:53:12,27.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
43,4,Rest,,10:53:12,10:53:37,24.2,2026-05-21_01,,,,,,,,,,,,,,,,,,
44,4,Communication,With other gulper(s),10:53:37,10:53:51,14,2026-05-21_01,,,,,,,,,,,,,,,,,,
45,4,Communication,With client(s),10:53:51,10:55:05,74,2026-05-21_01,,,,,,,,,,,,,,,,,,
46,23,Earthworks,Put hole in pit liner,10:54:45,10:55:23,38.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
47,4,Communication,With other gulper(s),10:55:05,10:55:44,39.8,2026-05-21_01,,,,,,,,,,,,,,,,,,
48,23,Earthworks,Dig trench,10:55:23,10:55:34,11.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
49,23,Earthworks,Put hole in pit liner,10:55:34,10:56:51,76.8,2026-05-21_01,,,,,,,,,,,,,,,,,,
50,4,Rest,,10:56:22,11:00:09,226.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
51,23,Earthworks,Dig trench,10:57:29,11:00:35,185.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
52,4,Communication,With client(s),11:00:09,11:00:12,3.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
53,4,Communication,With other gulper(s),11:00:12,11:00:17,4.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
54,4,Rest,,11:00:17,11:00:31,14.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
55,4,Communication,With other gulper(s),11:00:31,11:00:47,15.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
56,23,Communication,With other gulper(s),11:00:35,11:00:50,14.8,2026-05-21_01,,,,,,,,,,,,,,,,,,
57,4,Earthworks,Dig trench,11:00:47,11:05:25,278.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
58,23,Rest,,11:00:50,11:02:34,104.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
59,23,Superstructure,Inspection,11:02:34,11:02:48,14.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
60,23,Rest,,11:02:48,11:02:56,7.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
61,23,Communication,With client(s),11:02:56,11:03:00,4,2026-05-21_01,,,,,,,,,,,,,,,,,,
62,23,Rest,,11:03:00,11:03:21,21,2026-05-21_01,,,,,,,,,,,,,,,,,,
63,23,Communication,With other gulper(s),11:03:21,11:03:56,34.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
64,23,Rest,,11:03:56,11:04:47,51.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
65,23,Communication,With other gulper(s),11:04:47,11:05:02,15,2026-05-21_01,,,,,,,,,,,,,,,,,,
66,23,Superstructure,Inspection,11:05:02,11:05:21,18.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
67,23,Earthworks,Put hole in pit liner,11:06:09,11:07:47,97.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
68,4,Rest,,11:06:12,11:07:59,107,2026-05-21_01,,,,,,,,,,,,,,,,,,
69,23,Communication,With other gulper(s),11:07:47,11:08:07,20.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
70,4,Equipment,Maneuvering,11:07:59,11:08:14,15.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
71,23,Earthworks,Put hole in pit liner,11:08:07,11:09:33,86.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
72,4,Rest,,11:08:14,11:13:47,332.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
73,23,Earthworks,Put hole in pit liner,11:09:33,11:12:17,163.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
74,23,Earthworks,Dig trench,11:12:17,11:12:46,29.2,2026-05-21_01,,,,,,,,,,,,,,,,,,
75,23,Earthworks,Put hole in pit liner,11:12:46,11:14:08,81.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
76,4,Communication,With other gulper(s),11:13:47,11:15:30,102.8,2026-05-21_01,,,,,,,,,,,,,,,,,,
77,23,Earthworks,Dig trench,11:14:08,11:15:36,88.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
78,4,Rest,,11:15:30,11:15:41,10.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
79,23,Rest,,11:15:36,11:16:07,31,2026-05-21_01,,,,,,,,,,,,,,,,,,
80,4,Equipment,Maneuvering,11:15:41,11:16:04,23.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
81,4,Rest,,11:16:04,11:17:46,101.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
82,23,Communication,With other gulper(s),11:16:07,11:16:15,7.8,2026-05-21_01,,,,,,,,,,,,,,,,,,
83,23,Extraction,Removing sludge,11:18:06,11:25:11,424.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
84,4,Fluidizing,Mixing,11:18:12,11:19:32,80.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
85,4,Rest,,11:19:32,11:19:39,7.2,2026-05-21_01,,,,,,,,,,,,,,,,,,
86,4,Fluidizing,Mixing,11:19:39,11:20:55,76,2026-05-21_01,,,,,,,,,,,,,,,,,,
87,4,Fluidizing,Mixing,11:20:55,11:23:06,130.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
88,4,Rest,,11:24:29,11:27:20,171.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
89,23,Earthworks,Repair pit liner,11:26:11,11:30:11,240.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
90,4,Equipment,Cleaning,11:27:25,11:28:02,36.8,2026-05-21_01,,,,,,,,,,,,,,,,,,
91,4,Rest,,11:28:30,11:31:30,180.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
92,23,Earthworks,Fill trench,11:30:24,11:36:14,350.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
93,4,Earthworks,Fill trench,11:31:37,11:40:17,519.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
94,23,Rest,,11:36:14,11:36:52,37.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
95,23,Earthworks,Fill trench,11:36:52,11:37:30,38.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
96,23,Earthworks,Fill trench,11:37:55,11:38:51,55.6,2026-05-21_01,,,,,,,,,,,,,,,,,,
97,23,Rest,,11:38:51,11:39:16,25.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
98,23,Earthworks,Fill trench,11:39:16,11:43:08,232.2,2026-05-21_01,,,,,,,,,,,,,,,,,,
99,4,Rest,,11:40:17,11:40:35,18.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
100,4,Rest,,11:40:38,11:41:15,37.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
101,4,Equipment,Maneuvering,11:41:15,11:42:04,48.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
102,4,Equipment,Cleaning,11:42:04,11:42:15,10.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
103,4,Equipment,Cleaning,11:42:15,11:42:49,34,2026-05-21_01,,,,,,,,,,,,,,,,,,
104,4,Rest,,11:42:49,11:43:19,30.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
105,23,Rest,,11:43:08,11:44:21,73.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
106,4,Equipment,Cleaning,11:43:19,11:44:10,51.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
107,4,Equipment,Maneuvering,11:44:10,11:44:28,17.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
108,23,Equipment,Cleaning,11:44:21,11:50:13,351.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
109,4,Equipment,Maneuvering,11:44:28,11:44:30,2.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
110,4,Equipment,Cleaning,11:44:30,11:46:14,104.2,2026-05-21_01,,,,,,,,,,,,,,,,,,
111,4,Equipment,Maneuvering,11:46:14,11:46:38,23.9,2026-05-21_01,,,,,,,,,,,,,,,,,,
112,4,Rest,,11:46:38,11:46:47,8.5,2026-05-21_01,,,,,,,,,,,,,,,,,,
113,4,Equipment,Maneuvering,11:46:47,11:47:06,19,2026-05-21_01,,,,,,,,,,,,,,,,,,
114,4,Equipment,Cleaning,11:47:06,11:49:45,159.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
115,4,Equipment,Maneuvering,11:49:45,11:50:52,66.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
116,23,Equipment,Maneuvering,11:50:13,11:50:48,35.1,2026-05-21_01,,,,,,,,,,,,,,,,,,
117,23,Equipment,Cleaning,11:50:49,11:51:40,51.3,2026-05-21_01,,,,,,,,,,,,,,,,,,
118,4,Equipment,Cleaning,11:50:52,11:50:57,5.4,2026-05-21_01,,,,,,,,,,,,,,,,,,
119,4,Equipment,Maneuvering,11:50:57,11:51:48,50.7,2026-05-21_01,,,,,,,,,,,,,,,,,,
120,4,Equipment,Cleaning,11:52:03,11:58:09,365.8,2026-05-21_01,,,,,,,,,,,,,,,,,,
121,23,Equipment,Cleaning,11:58:09,11:58:09,0,2026-05-21_01,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
